light_intensity,temperature,humidity,soil_moisture
800,25,40,28.08
300,22,75,55.72
290,20,60,50
282.07,22,75,60
289.31,19.5,64.52,45.15
290,20,62.79,50
290,20,63.51,47.47
500,25.89,74.05,73.97
300,20.11,79.52,60
300,22,75.04,60
522.94,25,70,70
767.21,25.24,44.68,30
300,22,75,62.85
800,24.64,41.77,26.37
811.34,25.03,40,25.71
792.78,23.63,40,25.22
549.92,25,70,70
803.77,24.29,40,30
795.77,25,39.7,30
839.15,25,41.23,27.52
800,25,40,29.12
500,24.47,71.46,70
500,25.51,71.68,70.15
303.76,19.88,55.69,52.5
757.46,25,43.31,30
290,20,58.09,50
800,24.37,42.93,30
818.36,25,36.83,32.55
800.62,26.99,40,30
782.75,25,37.06,30
307.7,20.51,60,50.69
845.7,25,40,27.0
453.1,25,70,70
771.25,23.12,40,30
300,22,75,59.87
795.0,23.09,40,34.89
772.91,24.71,43.06,33.65
312.26,20,60,50
290,20,60,50
800,26.08,36.85,30
290,20.08,61.57,54.28
530.42,23.11,66.43,67.52
256.09,21.82,64.6,47.87
805.33,23.07,40,33.73
816.54,26.49,40,30
300,23.82,75.57,60
285.91,20,55.08,51.76
522.15,23.81,70,68.79
283.22,21.58,60,50
292.59,20,61.69,50
300,22,79.25,60.14
750.73,25,43.1,29.44
249.53,20,60.88,50.39
300,23.22,70.27,60.77
500,25,70,69.28
290,18.97,63.7,50
290.78,20,60,47.91
512.1,24.54,70,70
500,25,67.88,65.4
800,25,40,30
290,20,60,50
453.79,24.63,70,70
276.8,20,60,50
300,22,75,60
290,20,62.5,50
300,21.7,71.78,57.05
800,25,40,32.84
463.08,25,70,72.93
463.42,25,70,70
789.84,26.76,40,30
848.67,26.34,44.13,30
756.43,25,40,30
500,23.6,71.31,70
283.59,20,60,50
500,23.79,67.68,65.53
275.04,18.93,62.18,50
290,21.22,60,45.59
800,23.83,42.18,33.41
840.67,25.85,38.28,32.37
500,23.73,69.45,69.16
500,26.58,70,70
809.92,25.74,40,30
290,20,60,50
290,18.39,59.17,52.07
800,25,39.97,27.58
272.96,20,58.02,53.13
800,26.19,40,30.45
300,20.62,75,60
500,25.01,70,70
500,25,70,65.77
800,23.89,38.63,30
277.78,23.61,70.38,63.18
281.88,20,60,45.52
294.57,20,55.14,50
825.87,23.33,40,30
800,25,40,31.42
242.21,18.15,59.85,50
300,22,75,60
844.19,25.26,35.56,33.09
290,20,60,45.75
300,22,71.01,59.2
500,25,70,71.15
513.92,25,67.14,70
283.7,20,56.12,54.68
465.6,26.48,74.19,65.58
290,20,60,46.14
800,25.72,40,30
290,20,59.34,50
785.97,25,40,30
284.32,20,60,49.86
266.62,22,75,56.1
290,20,60,50
290,20,60.02,50
249.62,20,60,50.07
300,23.12,75,60.73
800,25,36.64,30
510.39,25,70,70
338.58,22,79.36,60
800,25,40,29.04
333.89,20,60,50
800,25,40,32.9
300,22,77.99,60
800,24.21,36.78,30
312.12,19.57,60,50
294.12,22,75,60
540.46,23.62,69.4,70
261.08,20.8,59.14,50
767.75,26.09,40,30
290,20,60.04,50
290,20,61.14,50
763.54,23.91,40,30
300,22,75,59.91
290,20,60,47.7
300,22,75,64.03
765.89,25.55,43.24,30
500,25.94,72.8,70
492.01,24.79,71.51,71.66
527.24,26.57,70,74.82
477.02,23.71,69.87,70
500,25,70.58,73.18
300,22,75,62.15
290,20,60,53.41
472.6,25.93,70,65.98
290,20,59.76,51.85
274.96,21.76,71.25,60
324.82,20.03,60,48.14
500,23.88,73.63,72.3
834.85,25,40,33.93
290,20,60,50
300,22,75,62.0
500,25,67.06,70
257.58,20,55.11,52.6
800,23.38,40,34.93
311.62,18.01,60,50
500,23.37,70,70
500,23.23,67.64,70
500,24.08,70,69.64
290,20,60,52.85
262.71,22,75,60
307.66,21.92,57.69,50
300,22.6,70.75,64.75
295.67,22,75,60.05
290,21.37,60,50
267.5,19.74,60,50
300,23.03,75,62.18
262.07,21.12,60,49.57
317.95,23.73,78.59,60
500,23.86,68.52,70
290,21.39,60,46.13
300,22.18,75,63.39
845.22,25,40,27.28
800,23.51,40,30
290,19.58,60,50
259.71,20,60,51.25
800,25,42.48,29.29
791.78,24.47,44.81,30.34
800,25,40,30
281.2,21.19,75,60.76
300,20.93,75,59.01
270.63,20.11,75,58.37
500,25,72.26,74.53
342.53,22,74.78,61.44
519.25,25,70.57,70
500,23.81,70,70
321.8,20,60,50
290,20,60,46.14
314.38,20,60,49.63
300,22,77.6,60
280.66,22,75,64.65
800,23.35,36.45,30
290,21.14,60,50
837.7,25,40,28.95
800,23.6,40,30
500,23.78,66.59,70
492.72,25,68.2,70
800,25,40,28.8
791.39,26.03,40,27.63
345.99,21.15,75,64.86
258.77,21.52,70.26,58.42
331.4,20,60,50
283.97,22,79.98,65.0
810.27,23.82,42.26,30
500,25,70,70
300,22.41,76.22,60
500,25,73.78,70
478.04,25.85,74.07,71.53
760.16,25,41.23,30
300,22,75,60.15
300,20.86,75,60
300,20.79,77.98,60
315.98,19.61,62.28,48.59
290,20,64.08,50
287.06,22.53,75,60
290,20,60,49.48
300,22,79.75,60
300,23.6,75,55.87
800,25.78,40,30
290,20,58.15,50
290,18.94,59.12,53.32
281.83,20.45,60,48.99
800,25,37.92,30
805.54,25,40,30
299.48,18.98,55.09,47.22
302.71,20,57.19,49.58
500,25,70,69.83
800,23.41,40,30.82
500,24.06,66.6,70
800,25,35.9,25.74
848.87,24.8,43.34,30
290,21.18,60,50
800,25,37.3,30
757.74,26.42,40,31.72
300,22.55,75,60
290,19.14,60,50
267.18,20.92,55.63,51.48
302.98,22,76.47,62.83
300,21.13,71.93,60
515.78,25.12,67.85,70.31
290,20,60,50
754.52,25,40,27.96
253.13,21.96,60,46.75
349.3,21.04,75,55.33
800,24.45,40,30
290,21.43,64.7,50
290,19.72,57.89,46.21
290,20.18,60,50
800,25,40,25.87
296.33,19.75,57.66,48.71
246.58,21.57,60.39,50
541.77,25,70,74.1
533.96,25,70.57,70
845.76,26.7,39.62,28.62
290,20,62.76,48.93
290,20,64.68,49.82
300,22,75,60
257.44,20,55.71,50
290,20,59.28,50
500,25,70,70
290,20,60,50
277.48,18.74,56.12,50
290,20,60,45.19
305.58,19.11,60,50
290,20.93,60,50
500,25,73.89,70
800,25,40.76,27.26
800,24.67,37.12,30
800,25.87,40,30
500,25.42,70,67.24
784.65,25.89,40,30
300,22,75.7,63.52
800,25,40,30
311.52,20,61.56,54.56
500,25,71.47,70.47
538.49,26.59,70,70
506.92,25.8,69.23,72.83
336.1,19.45,60,50.73
253.07,22,74.99,59.37
489.89,25,70,70
290,20,60,49.36
290,21.57,61.65,50
300,21.31,74.54,58.04
316.63,21.6,75,60
290,18.08,60,54.05
282.99,19.64,60.56,47.13
760.62,24.97,40,33.68
290,19.29,59.45,51.72
290,20,62.86,46.81
290,21.98,60,50
500,25,72.06,67.52
545.23,25,70,70
837.49,26.46,35.93,32.4
300,22,75,60
331.34,22,75,60
308.69,22,79.99,58.77
471.11,26.33,70.38,70
339.58,21.25,74.77,60
255.71,20.23,75,56.44
825.06,24.48,35.53,29.14
800,25.14,38.11,30
315.73,18.97,60,50
